Team: Royal Antwerp vs Racing Genk, Probability: 76, Prediction: Yes, Scores: 2 - 2, IsSuccess: True
Team: Bangor FC vs Ards FC, Probability: 70, Prediction: Yes, Scores: 0 - 0, IsSuccess: False
Team: Institute FC vs Limavady United, Probability: 76, Prediction: Yes, Scores: 1 - 1, IsSuccess: True
Team: Gloucester vs Swindon Supermarine, Probability: 71, Prediction: Yes, Scores: 3 - 1, IsSuccess: True
Team: Hungerford Town vs Merthyr Town, Probability: 81, Prediction: Yes, Scores: 1 - 3, IsSuccess: True
Team: Walton & Hersham vs Bracknell Town, Probability: 80, Prediction: Yes, Scores: 2 - 0, IsSuccess: False
Team: Macclesfield vs Leek Town, Probability: 72, Prediction: Yes, Scores: 1 - 2, IsSuccess: True
Team: Al Malaab El Libby vs Al Watan, Probability: 84, Prediction: No, Scores: 2 - 2, IsSuccess: False
Team: Oldham Athletic vs York City, Probability: 77, Prediction: Yes, Scores: None, IsSuccess: None
Team: Bnei Sakhnin vs Ironi Modi'in, Probability: 82, Prediction: No, Scores: 2 - 2, IsSuccess: False
Team: Hapoel Raanana vs Nordia Jerusalem, Probability: 76, Prediction: No, Scores: 2 - 4, IsSuccess: False
Team: AC Port of Spain vs Central FC (T&T), Probability: 79, Prediction: Yes, Scores: 2 - 1, IsSuccess: True
count True : 29,   count False : 22, count None : 1 
winrate:56.86


Gnidlo Sergiy
