Team: Cruzeiro Itaporanga U20 vs Zumbi U20, Probability: 95, Prediction: No, Scores: 1 - 1, IsSuccess: False
Team: Colombe FC vs Bamboutos FC, Probability: 70, Prediction: No, Scores: 2 - 1, IsSuccess: False
Team: Dumiense vs USC Paredes, Probability: 78, Prediction: Yes, Scores: 0 - 2, IsSuccess: False
Team: AD Os Limianos vs Brito SC, Probability: 70, Prediction: Yes, Scores: 2 - 1, IsSuccess: True
Team: Comércio Indústria vs Lusitano GC, Probability: 81, Prediction: Yes, Scores: 0 - 1, IsSuccess: False
Team: Amora FC vs FC Serpa, Probability: 81, Prediction: Yes, Scores: 2 - 1, IsSuccess: True
Team: Pêro Pinheiro vs CD Alcains, Probability: 82, Prediction: No, Scores: 1 - 2, IsSuccess: False
Team: JS Pob vs Sitatunga, Probability: 78, Prediction: No, Scores: 0 - 0, IsSuccess: True
Team: Bani Gansè vs Real Sport, Probability: 80, Prediction: No, Scores: 1 - 1, IsSuccess: False
Team: Damissa vs Dynamique Djougou, Probability: 70, Prediction: No, Scores: 3 - 0, IsSuccess: True
Team: ESAE FC vs Boa, Probability: 78, Prediction: No, Scores: 1 - 1, IsSuccess: False
Team: Amarante vs Sporting Braga B, Probability: 72, Prediction: No, Scores: 1 - 1, IsSuccess: False
Team: Real Madrid W vs Granada W, Probability: 90, Prediction: Yes, Scores: 3 - 1, IsSuccess: True
Team: CD Mosconia vs CD Roces, Probability: 72, Prediction: No, Scores: 2 - 0, IsSuccess: True
Team: CF Épila vs Fuentes, Probability: 71, Prediction: No, Scores: 1 - 0, IsSuccess: True
Team: Al Sadd SC vs Shamal SC, Probability: 77, Prediction: Yes, Scores: 1 - 0, IsSuccess: False
Team: Valletta FC vs Victoria Wanderers, Probability: 83, Prediction: No, Scores: 4 - 0, IsSuccess: True
Team: Togo Port vs Haknour, Probability: 84, Prediction: No, Scores: 0 - 0, IsSuccess: True
Team: Basaksehir vs Galatasaray, Probability: 80, Prediction: Yes, Scores: 1 - 2, IsSuccess: True
Team: Riffa Club vs Sitra Club, Probability: 72, Prediction: Yes, Scores: None, IsSuccess: None
Team: Al Ahli Manama vs Al Khaldiya, Probability: 84, Prediction: Yes, Scores: None, IsSuccess: None
Team: Black Bulls Maputo vs Zamalek SC, Probability: 78, Prediction: No, Scores: 1 - 3, IsSuccess: False
Team: Enyimba vs Al Masry, Probability: 73, Prediction: No, Scores: 1 - 1, IsSuccess: False
Team: ASVO vs JAC, Probability: 70, Prediction: No, Scores: 2 - 1, IsSuccess: False
Team: Ittihad (BHR) vs Al Hidd Club, Probability: 84, Prediction: Yes, Scores: 0 - 2, IsSuccess: False
Team: CF Noia vs Betanzos CF, Probability: 71, Prediction: No, Scores: 0 - 0, IsSuccess: True
Team: CD Barquereño vs Atlético Albericia, Probability: 72, Prediction: Yes, Scores: 1 - 2, IsSuccess: True
Team: SuperSport United vs Sekhukhune Utd, Probability: 71, Prediction: No, Scores: 0 - 3, IsSuccess: True
Team: AS Pikine vs Guédiawaye FC, Probability: 78, Prediction: No, Scores: None, IsSuccess: None
Team: AS Génération Foot vs AJEL, Probability: 76, Prediction: No, Scores: 1 - 0, IsSuccess: True
Team: Maghreb Fès vs Maghreb Tétouan, Probability: 70, Prediction: No, Scores: 2 - 1, IsSuccess: False
Team: Anderlecht vs Club Brugge, Probability: 86, Prediction: Yes, Scores: 0 - 3, IsSuccess: False
Team: PAOK vs Volos NFC, Probability: 71, Prediction: Yes, Scores: 1 - 2, IsSuccess: True
Team: CD Tapatio vs Leones Negros, Probability: 82, Prediction: Yes, Scores: 2 - 3, IsSuccess: True
Team: São José PA U20 vs Santos U20, Probability: 75, Prediction: Yes, Scores: 0 - 3, IsSuccess: False
Team: Al Hilal Al Sudani vs Young Africans, Probability: 72, Prediction: No, Scores: 0 - 1, IsSuccess: True
Team: ABC Natal vs Laguna, Probability: 75, Prediction: No, Scores: 1 - 1, IsSuccess: False
Team: Roma W vs Inter Milano W, Probability: 81, Prediction: Yes, Scores: 1 - 2, IsSuccess: True
Team: Pombal vs Esporte/PB, Probability: 75, Prediction: No, Scores: 0 - 3, IsSuccess: True
Team: Saint George's Colts vs North Village Rams, Probability: 84, Prediction: Yes, Scores: 3 - 2, IsSuccess: True
count True : 61,   count False : 43, count None : 11 
winrate:58.65


Gnidlo Sergiy
