Team: Caledonia AIA vs Defence Force, Probability: 75, Prediction: Yes, Scores: 2 - 6, IsSuccess: True
Team: East Fife vs Clyde FC, Probability: 73, Prediction: Yes, Scores: 3 - 0, IsSuccess: False
Team: Bognor Regis Town vs Hashtag United, Probability: 70, Prediction: Yes, Scores: None, IsSuccess: None
Team: Chatham Town vs Wingate & Finchley, Probability: 77, Prediction: Yes, Scores: 3 - 1, IsSuccess: True
Team: Dartford vs Chichester City, Probability: 82, Prediction: Yes, Scores: None, IsSuccess: None
Team: Armagh City vs H&W Welders, Probability: 76, Prediction: Yes, Scores: 3 - 3, IsSuccess: True
Team: Biggleswade Town vs Lowestoft Town, Probability: 71, Prediction: Yes, Scores: None, IsSuccess: None
Team: Chertsey Town vs AFC Totton, Probability: 80, Prediction: Yes, Scores: None, IsSuccess: None
Team: Gosport Borough vs Taunton, Probability: 77, Prediction: Yes, Scores: 1 - 1, IsSuccess: True
Team: Merthyr Town vs Dorchester Town, Probability: 86, Prediction: Yes, Scores: 0 - 0, IsSuccess: False
Team: Plymouth Parkway vs Swindon Supermarine, Probability: 77, Prediction: Yes, Scores: 2 - 3, IsSuccess: True
Team: Wimborne Town vs Marlow, Probability: 73, Prediction: Yes, Scores: 3 - 1, IsSuccess: True
Team: Bamber Bridge vs Workington, Probability: 71, Prediction: Yes, Scores: None, IsSuccess: None
Team: Hyde FC vs Ilkeston Town, Probability: 75, Prediction: Yes, Scores: None, IsSuccess: None
Team: Macclesfield vs FC United, Probability: 75, Prediction: Yes, Scores: 2 - 0, IsSuccess: False
Team: Whitby Town vs Hebburn Town, Probability: 83, Prediction: Yes, Scores: None, IsSuccess: None
Team: Coton Sport Ouidah vs Avrankou Omnisport, Probability: 72, Prediction: No, Scores: 1 - 0, IsSuccess: True
Team: Etoile Filante vs JSO, Probability: 72, Prediction: No, Scores: 1 - 0, IsSuccess: True
Team: CD Basconia vs Touring, Probability: 76, Prediction: Yes, Scores: 2 - 2, IsSuccess: True
Team: Atalanta U19 vs Milan U19, Probability: 77, Prediction: Yes, Scores: 1 - 1, IsSuccess: True
Team: Aberystwyth Town vs Briton Ferry, Probability: 75, Prediction: Yes, Scores: 1 - 6, IsSuccess: True
Team: Ahli Doha vs Al Wakra, Probability: 79, Prediction: Yes, Scores: 6 - 3, IsSuccess: True
Team: Sliema Wanderers vs Għajnsielem FC, Probability: 75, Prediction: No, Scores: 8 - 0, IsSuccess: True
Team: Pasaia KE vs SCD Durango, Probability: 71, Prediction: Yes, Scores: 3 - 2, IsSuccess: True
Team: Europa F.C. vs Bruno's Magpies, Probability: 90, Prediction: Yes, Scores: 2 - 0, IsSuccess: False
Team: Jazira Abu Dhabi vs Wahda Abu Dhabi, Probability: 86, Prediction: Yes, Scores: 0 - 0, IsSuccess: False
Team: Cascavel U20 vs Boavista U20, Probability: 87, Prediction: No, Scores: 2 - 2, IsSuccess: False
Team: Bromley FC vs Bradford City, Probability: 71, Prediction: Yes, Scores: None, IsSuccess: None
Team: Brest vs Lyon, Probability: 76, Prediction: Yes, Scores: 2 - 1, IsSuccess: True
Team: Dagenham & Redbridge vs Forest Green, Probability: 71, Prediction: Yes, Scores: None, IsSuccess: None
Team: Al Ali CSC vs Najma Manama, Probability: 74, Prediction: Yes, Scores: 1 - 3, IsSuccess: True
Team: Atlético Mineros vs Monte, Probability: 71, Prediction: No, Scores: 3 - 0, IsSuccess: True
Team: Kamboi Eagles vs Mighty Blackpool, Probability: 75, Prediction: No, Scores: 0 - 0, IsSuccess: True
Team: AC Renate vs Alcione, Probability: 71, Prediction: No, Scores: 0 - 1, IsSuccess: True
Team: Oslo vs ASC HLM, Probability: 70, Prediction: No, Scores: 1 - 0, IsSuccess: True
Team: Ourense CF vs CD Lugo, Probability: 76, Prediction: No, Scores: 2 - 1, IsSuccess: False
Team: Sonacos vs Wally Daan, Probability: 74, Prediction: No, Scores: 0 - 1, IsSuccess: True
Team: De Treffers vs Quick Boys, Probability: 80, Prediction: Yes, Scores: None, IsSuccess: None
Team: AS Cannes vs RC Grasse, Probability: 71, Prediction: Yes, Scores: 3 - 2, IsSuccess: True
Team: Borussia M'gladbach vs Bayern München, Probability: 75, Prediction: Yes, Scores: 0 - 1, IsSuccess: False
Team: ASVH vs FC Chambly, Probability: 74, Prediction: No, Scores: None, IsSuccess: None
Team: Barcelona W vs Levante Las Planas W, Probability: 84, Prediction: Yes, Scores: 6 - 0, IsSuccess: False
Team: FC Kallon vs Freetown City, Probability: 72, Prediction: No, Scores: 4 - 0, IsSuccess: True
Team: VV GOES vs HSV Hoek, Probability: 76, Prediction: Yes, Scores: 1 - 1, IsSuccess: True
Team: Oostkamp vs FC Lebbeke, Probability: 71, Prediction: Yes, Scores: 5 - 3, IsSuccess: True
Team: KFC Merelbeke vs Lyra TSV, Probability: 73, Prediction: Yes, Scores: None, IsSuccess: None
Team: Zulte Waregem vs Patro Eisden, Probability: 75, Prediction: Yes, Scores: 3 - 2, IsSuccess: True
Team: Penedense/AL vs Murici/AL, Probability: 72, Prediction: No, Scores: 1 - 0, IsSuccess: True
Team: Atlético Piauiense vs River/PI, Probability: 74, Prediction: No, Scores: 2 - 1, IsSuccess: False
Team: 4 de Julho PI vs Piaui/PI, Probability: 72, Prediction: No, Scores: 3 - 4, IsSuccess: False
Team: KRC Harelbeke vs KVK Westhoek, Probability: 72, Prediction: Yes, Scores: 3 - 0, IsSuccess: False
Team: PSV Eindhoven vs AZ Alkmaar, Probability: 83, Prediction: Yes, Scores: 2 - 2, IsSuccess: True
Team: Rennes vs Olympique Marseille, Probability: 72, Prediction: Yes, Scores: 1 - 2, IsSuccess: True
count True : 58,   count False : 43, count None : 22 
winrate:57.43


Gnidlo Sergiy
